timestamp,model_id,version,environment,latency_ms,throughput_rpm,error_rate,quality_score,drift_score,availability
2026-07-01T00:00:00Z,pump-failure-predictor,1.0.0,production,86.33,875.42,0.0195,0.8309,0.1876,99.366
2026-07-02T00:00:00Z,pump-failure-predictor,1.0.0,production,77.03,1053.72,0.0011,0.885,0.0244,99.091
2026-07-03T00:00:00Z,pump-failure-predictor,1.0.0,production,89.86,1213.43,0.0037,0.8535,0.2196,99.948
2026-07-04T00:00:00Z,pump-failure-predictor,1.0.0,production,95.2,998.34,0.0293,0.827,0.3005,99.29
2026-07-05T00:00:00Z,pump-failure-predictor,1.0.0,production,80.05,858.9,0.0093,0.9424,0.0633,99.582
2026-07-06T00:00:00Z,pump-failure-predictor,1.0.0,production,97.36,986.2,0.0164,0.8294,0.0209,99.206
2026-07-07T00:00:00Z,pump-failure-predictor,1.0.0,production,98.81,1013.8,0.0094,0.9078,0.1586,99.3
2026-07-08T00:00:00Z,pump-failure-predictor,1.0.0,production,102.8,1149.5,0.0073,0.9062,0.1838,99.875
2026-07-09T00:00:00Z,pump-failure-predictor,1.0.0,production,100.53,943.97,0.0294,0.8377,0.1463,99.757
2026-07-10T00:00:00Z,pump-failure-predictor,1.0.0,production,80.32,1044.48,0.0012,0.9202,0.2676,99.573
2026-07-11T00:00:00Z,pump-failure-predictor,1.0.0,production,105.64,956.87,0.0209,0.9092,0.203,99.456
2026-07-12T00:00:00Z,pump-failure-predictor,1.0.0,production,104.4,1272.34,0.0142,0.9196,0.0212,99.701
2026-07-13T00:00:00Z,pump-failure-predictor,1.0.0,production,97.65,1296.55,0.0247,0.8627,0.135,99.669
2026-07-14T00:00:00Z,pump-failure-predictor,1.0.0,production,75.79,1030.85,0.005,0.8376,0.0206,99.768
2026-07-15T00:00:00Z,pump-failure-predictor,1.0.0,production,79.53,923.81,0.0117,0.9507,0.0282,99.449
2026-07-16T00:00:00Z,pump-failure-predictor,2.0.0,production,94.23,1241.69,0.0246,0.9496,0.0974,99.415
2026-07-17T00:00:00Z,pump-failure-predictor,2.0.0,production,87.56,1242.1,0.0287,0.8426,0.0617,99.232
2026-07-18T00:00:00Z,pump-failure-predictor,2.0.0,production,83.17,1042.48,0.0177,0.8594,0.0014,99.419
2026-07-19T00:00:00Z,pump-failure-predictor,2.0.0,production,87.92,1083.17,0.0286,0.9236,0.1804,99.618
2026-07-20T00:00:00Z,pump-failure-predictor,2.0.0,production,98.67,827.0,0.027,0.937,0.3061,99.798
2026-07-21T00:00:00Z,pump-failure-predictor,2.0.0,production,88.73,999.49,0.0031,0.9151,0.0218,99.067
2026-07-22T00:00:00Z,pump-failure-predictor,2.0.0,production,82.31,881.15,0.0102,0.8279,0.0001,99.151
2026-07-23T00:00:00Z,pump-failure-predictor,2.0.0,production,78.55,981.8,0.0008,0.9511,0.2149,99.149
2026-07-24T00:00:00Z,pump-failure-predictor,2.0.0,production,83.83,973.69,0.0109,0.8384,0.2971,99.993
2026-07-25T00:00:00Z,pump-failure-predictor,2.0.0,production,91.31,1041.92,0.0026,0.8353,0.1199,99.265
2026-07-26T00:00:00Z,pump-failure-predictor,2.0.0,production,104.01,880.72,0.0007,0.9626,0.1849,99.147
2026-07-27T00:00:00Z,pump-failure-predictor,2.0.0,production,94.01,813.52,0.0158,0.9668,0.3022,99.696
2026-07-28T00:00:00Z,pump-failure-predictor,2.0.0,production,84.14,983.35,0.005,0.9358,0.1864,99.779
2026-07-29T00:00:00Z,pump-failure-predictor,2.0.0,production,86.54,911.52,0.0243,0.9677,0.2984,99.806
2026-07-30T00:00:00Z,pump-failure-predictor,2.0.0,production,103.64,1169.94,0.0068,0.8976,0.1244,99.029
2026-07-01T00:00:00Z,compressor-anomaly-detector,1.0.0,production,75.98,939.71,0.0078,0.9239,0.3348,99.447
2026-07-02T00:00:00Z,compressor-anomaly-detector,1.0.0,production,107.8,1294.02,0.0287,0.8747,0.0772,99.227
2026-07-03T00:00:00Z,compressor-anomaly-detector,1.0.0,production,81.88,902.19,0.0187,0.955,0.2942,99.479
2026-07-04T00:00:00Z,compressor-anomaly-detector,1.0.0,production,97.85,1199.82,0.0025,0.9191,0.3184,99.782
2026-07-05T00:00:00Z,compressor-anomaly-detector,1.0.0,production,101.25,1039.02,0.0054,0.9384,0.1164,99.801
2026-07-06T00:00:00Z,compressor-anomaly-detector,1.0.0,production,109.01,997.92,0.012,0.962,0.2537,99.17
2026-07-07T00:00:00Z,compressor-anomaly-detector,1.0.0,production,79.45,875.58,0.0271,0.941,0.0512,99.827
2026-07-08T00:00:00Z,compressor-anomaly-detector,1.0.0,production,109.31,1128.63,0.0105,0.9023,0.0458,99.014
2026-07-09T00:00:00Z,compressor-anomaly-detector,1.0.0,production,108.98,1124.84,0.0158,0.96,0.1518,99.872
2026-07-10T00:00:00Z,compressor-anomaly-detector,1.0.0,production,103.92,905.52,0.0076,0.8639,0.0842,99.586
2026-07-11T00:00:00Z,compressor-anomaly-detector,1.0.0,production,84.08,1009.51,0.0039,0.9565,0.1238,99.458
2026-07-12T00:00:00Z,compressor-anomaly-detector,1.0.0,production,95.42,1252.15,0.0126,0.9577,0.1756,99.532
2026-07-13T00:00:00Z,compressor-anomaly-detector,1.0.0,production,93.32,809.35,0.0132,0.8475,0.0014,99.799
2026-07-14T00:00:00Z,compressor-anomaly-detector,1.0.0,production,81.03,1036.75,0.0218,0.9035,0.1141,99.518
2026-07-15T00:00:00Z,compressor-anomaly-detector,1.0.0,production,94.44,1192.14,0.0032,0.904,0.087,99.277
2026-07-16T00:00:00Z,compressor-anomaly-detector,2.0.0,production,102.03,1053.86,0.0169,0.934,0.3194,99.443
